============================================================================================
Box Size: 2.25 X 1 X 0.8 M
Kinect Position: 0.6, 0.35, 0.35
Experiment Time: 10/07/2013 3:52:42 PM and Ticks:635167579620106840
============================================================================================
EVENTTYPE | EVENT# | HANDTYPE | X | Y | Z | TIME | STOPWATCH(ms) | SKELETON ID
SKT | OUT | 0.347158 | 0.02440025 | 2.803706 | 3:53:20PM | 38351 | 109
SKT | OUT | 0.3812467 | 0.0415145 | 2.82377 | 3:53:20PM | 38386 | 109
SKT | OUT | 0.379526 | 0.0368367 | 2.825075 | 3:53:20PM | 38415 | 109
SKT | OUT | 0.3759449 | 0.03990615 | 2.828227 | 3:53:20PM | 38444 | 109
SKT | OUT | 0.3776931 | 0.04040133 | 2.827728 | 3:53:20PM | 38484 | 109
SKT | OUT | 0.3777124 | 0.04186645 | 2.830504 | 3:53:20PM | 38519 | 109
SKT | OUT | 0.3795306 | 0.04197313 | 2.830036 | 3:53:20PM | 38550 | 109
SKT | OUT | 0.3768211 | 0.0440329 | 2.830534 | 3:53:20PM | 38587 | 109
SKT | OUT | 0.3788509 | 0.04527643 | 2.830865 | 3:53:20PM | 38617 | 109
SKT | OUT | 0.3797262 | 0.04463159 | 2.827228 | 3:53:20PM | 38664 | 109
SKT | OUT | 0.3775638 | 0.04741852 | 2.829086 | 3:53:20PM | 38688 | 109
SKT | OUT | 0.378859 | 0.05074782 | 2.830381 | 3:53:20PM | 38721 | 109
SKT | OUT | 0.3811143 | 0.0449612 | 2.831953 | 3:53:20PM | 38749 | 109
SKT | OUT | 0.3796101 | 0.04470095 | 2.831885 | 3:53:20PM | 38786 | 109
SKT | OUT | 0.3814873 | 0.04364657 | 2.832377 | 3:53:20PM | 38814 | 109
SKT | OUT | 0.3780743 | 0.04838079 | 2.831238 | 3:53:20PM | 38851 | 109
SKT | OUT | 0.3789456 | 0.04799204 | 2.833279 | 3:53:20PM | 38882 | 109
SKT | OUT | 0.3779337 | 0.0476099 | 2.832232 | 3:53:20PM | 38921 | 109
SKT | OUT | 0.3461886 | 0.02787555 | 2.808488 | 3:53:20PM | 38950 | 109
SKT | OUT | 0.3787188 | 0.04636494 | 2.833873 | 3:53:21PM | 38999 | 109
SKT | OUT | 0.3712451 | 0.04257246 | 2.840249 | 3:53:21PM | 39016 | 109
SKT | OUT | 0.3660283 | 0.04152646 | 2.838196 | 3:53:21PM | 39055 | 109
SKT | OUT | 0.3575178 | 0.04567378 | 2.840589 | 3:53:21PM | 39077 | 109
SKT | OUT | 0.3510025 | 0.05239116 | 2.842276 | 3:53:21PM | 39115 | 109
SKT | OUT | 0.355401 | 0.04771213 | 2.828928 | 3:53:21PM | 39151 | 109
SKT | OUT | 0.3215666 | 0.03360876 | 2.802168 | 3:53:21PM | 39186 | 109
SKT | OUT | 0.3492806 | 0.05679231 | 2.816094 | 3:53:21PM | 39218 | 109
SKT | OUT | 0.3501605 | 0.06026557 | 2.807517 | 3:53:21PM | 39253 | 109
SKT | OUT | 0.3152941 | 0.04652478 | 2.777974 | 3:53:21PM | 39277 | 109
SKT | OUT | 0.3427644 | 0.06210515 | 2.790873 | 3:53:21PM | 39313 | 109
SKT | OUT | 0.3134684 | 0.04538593 | 2.752458 | 3:53:21PM | 39345 | 109
SKT | OUT | 0.3379869 | 0.06275495 | 2.765612 | 3:53:21PM | 39394 | 109
SKT | OUT | 0.3390637 | 0.05842057 | 2.744054 | 3:53:21PM | 39451 | 109
SKT | OUT | 0.3383678 | 0.06112249 | 2.727003 | 3:53:21PM | 39451 | 109
